"pt_lonlattext"
"POINT(-73.9706999 40.682504)"
"POINT(-73.9708589 40.693172)"
"POINT(-73.9698309 40.693135)"
"POINT(-73.9688091 40.693114)"
"POINT(-73.9678439 40.69323)"
"POINT(-73.9668809 40.693341)"
"POINT(-73.9263799 40.665515)"
"POINT(-73.9552685 40.679131)"
"POINT(-73.9552958 40.6792706)"
"POINT(-73.9583171 40.6797702)"
"POINT(-73.9582735 40.6798951)"
"POINT(-73.9529696 40.6786318)"
"POINT(-73.9530045 40.6788093)"
"POINT(-73.9496957 40.6783693)"
"POINT(-73.9496782 40.6785493)"
"POINT(-73.9495569 40.68039)"
"POINT(-73.9469301 40.6782176)"
"POINT(-73.946923 40.6782853)"
"POINT(-73.946912 40.6783998)"
"POINT(-73.9441583 40.67808)"
"POINT(-73.9441523 40.6781436)"
"POINT(-73.9441489 40.678239)"
"POINT(-73.941396 40.6779301)"
"POINT(-73.9413896 40.677989)"
"POINT(-73.9413806 40.6780813)"
"POINT(-73.9386107 40.6777776)"
"POINT(-73.9386055 40.6778344)"
"POINT(-73.938591 40.677924)"
"POINT(-73.9470167 40.6843792)"
"POINT(-73.9358544 40.6776271)"
"POINT(-73.9358474 40.6776846)"
"POINT(-73.9358383 40.6777735)"
"POINT(-73.933081 40.6774523)"
"POINT(-73.9330716 40.6775331)"
"POINT(-73.9330603 40.677631)"
"POINT(-73.9303143 40.6773002)"
"POINT(-73.9303087 40.6773829)"
"POINT(-73.930303 40.6774683)"
"POINT(-73.9275243 40.6771467)"
"POINT(-73.9275193 40.6772242)"
"POINT(-73.9275135 40.6773137)"
"POINT(-73.9218324 40.6768311)"
"POINT(-73.9183302 40.6766437)"
"POINT(-73.9183028 40.6768214)"
"POINT(-73.9174024 40.6766004)"
"POINT(-73.9173855 40.6767523)"
"POINT(-73.9164801 40.6765573)"
"POINT(-73.9164682 40.6766913)"
"POINT(-73.9247782 40.6769957)"
